iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 22, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,097,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1,146,041,776.32","0.15","1,146,041,776.32","3,990,952.00","287.16","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","1,131,306,258.06","0.14","1,131,306,258.06","1,769,823.00","639.22","United States","NYSE","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","1,126,641,112.00","0.14","1,126,641,112.00","19,905,320.00","56.60","United States","NYSE","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","1,111,903,180.20","0.14","1,111,903,180.20","15,638,582.00","71.10","United States","NYSE","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","1,096,014,909.77","0.14","1,096,014,909.77","7,839,317.00","139.81","United States","NYSE","USD","1.00","USD","-"
"MRSH","MARSH INC","Financials","Equity","1,087,969,252.50","0.14","1,087,969,252.50","6,199,255.00","175.50","United States","NYSE","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","1,069,046,378.55","0.14","1,069,046,378.55","2,769,909.00","385.95","United States","NYSE","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","1,064,428,414.14","0.14","1,064,428,414.14","4,753,398.00","223.93","United States","NYSE","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","1,056,983,034.06","0.13","1,056,983,034.06","5,995,026.00","176.31","United States","NYSE","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","1,042,382,548.20","0.13","1,042,382,548.20","3,249,930.00","320.74","United States","NYSE","USD","1.00","USD","-"
"SLB","SLB NV","Energy","Equity","1,041,553,834.40","0.13","1,041,553,834.40","19,163,824.00","54.35","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1,040,001,375.15","0.13","1,040,001,375.15","5,156,435.00","201.69","United States","NASDAQ","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","1,033,907,834.70","0.13","1,033,907,834.70","2,816,190.00","367.13","United States","NASDAQ","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","1,028,235,063.16","0.13","1,028,235,063.16","23,812,762.00","43.18","United States","NASDAQ","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","1,027,545,528.93","0.13","1,027,545,528.93","7,197,209.00","142.77","United States","NYSE","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","1,012,590,778.56","0.13","1,012,590,778.56","10,781,418.00","93.92","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","1,007,440,062.12","0.13","1,007,440,062.12","1,708,626.00","589.62","United States","NYSE","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","996,464,435.59","0.13","996,464,435.59","8,583,551.00","116.09","United States","NYSE","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","996,503,496.30","0.13","996,503,496.30","9,463,471.00","105.30","United States","NYSE","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","989,284,710.05","0.13","989,284,710.05","2,951,767.00","335.15","United States","NYSE","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","983,239,158.84","0.13","983,239,158.84","6,744,678.00","145.78","United States","NYSE","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","979,861,328.06","0.12","979,861,328.06","2,936,618.00","333.67","United States","NYSE","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","963,925,862.76","0.12","963,925,862.76","1,291,122.00","746.58","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","948,669,267.52","0.12","948,669,267.52","623,288.00","1,522.04","United States","NASDAQ","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","944,678,010.26","0.12","944,678,010.26","2,004,239.00","471.34","United States","NYSE","USD","1.00","USD","-"
